antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Low', 'Speed_Slow', 'Positive_review'})",frozenset({'On_time_delivery'}),0.09572292168537794,0.9221853552111268,0.08886868778691878,0.9283950617283951,1.0067336858931648,1.0,0.0005944112506416632,1.086721763430817,0.007396678305786344,0.09565651327312402,0.07980125764393782,0.5123812757505892
"frozenset({'On_time_delivery', 'Cheap', 'Speed_Slow'})",frozenset({'Positive_review'}),0.17799190945866097,0.7680469069587746,0.13701195400209082,0.7697650663942799,1.002237050133186,1.0,0.0003058184786799978,1.0074626357025716,0.0027153709746437875,0.16935402316932033,0.007407357293570856,0.4740775763388507
frozenset({'Medium'}),frozenset({'On_time_delivery'}),0.5450570428616881,0.9221853552111268,0.5021680832689424,0.9213128971463834,0.9990539233139919,1.0,-0.00047553941278988265,0.9889123117626227,-0.002077195684618226,0.5203413618680709,-0.011212003435991982,0.7329271371236378
"frozenset({'On_time_delivery', 'Cheap', 'High'})",frozenset({'Positive_review'}),0.04342529885005227,0.7680469069587746,0.03331666742420799,0.7672179191961481,0.998920654773666,1.0,-3.5999041335089965e-05,0.9964387818866305,-0.0011282886126363838,0.04281492038644408,-0.0035739457135809073,0.4052981735785922
"frozenset({'Cheap', 'Medium'})",frozenset({'On_time_delivery'}),0.12796691059497295,0.9221853552111268,0.11784009817735558,0.920863820416282,0.9985669531755444,1.0,-0.00016911272494005147,0.9833004979290577,-0.0016429944520569505,0.12639553817802435,-0.01698311157790861,0.5243236742181957
frozenset({'Cheap'}),"frozenset({'On_time_delivery', 'Positive_review'})",0.34014817508295075,0.7413935730194082,0.2514431162219899,0.7392164199048586,0.9970634313625314,1.0,-0.0007405546587901934,0.9916514946464218,-0.00444361890951303,0.30290751793243165,-0.008418789664160098,0.5391828632623843
frozenset({'Medium'}),"frozenset({'On_time_delivery', 'Positive_review'})",0.5450570428616881,0.7413935730194082,0.4022998954592973,0.7380876932570589,0.9955409921495735,1.0,-0.001801893047322367,0.9873779136098636,-0.009749163671042468,0.45501280060867155,-0.012783440075127793,0.6403571612428482
frozenset({'Cheap'}),frozenset({'Positive_review'}),0.34014817508295075,0.7680469069587746,0.260079087314213,0.7646052701908173,0.9955189758115358,1.0,-0.001170666465919068,0.9853792955740883,-0.006775304723762866,0.30665509073174907,-0.014837641192159929,0.5516146165367797
frozenset({'Medium'}),frozenset({'Positive_review'}),0.5450570428616881,0.7680469069587746,0.41631744011635835,0.7638052669324038,0.9944773685201515,1.0,-0.002311935769657436,0.9820417670991972,-0.012059382071252941,0.4642324963761138,-0.01828662843317622,0.6529260803054354
"frozenset({'Medium', 'Expensive'})",frozenset({'On_time_delivery'}),0.08652333984818872,0.9221853552111268,0.07926912413072133,0.9161588569027107,0.9934649815523948,1.0,-0.00052143276123362,0.9281200364667869,-0.007149581519733754,0.08528701231380144,-0.07744683953473235,0.5010583825644216
"frozenset({'Low', 'On_time_delivery', 'Cheap', 'Speed_Slow'})",frozenset({'Positive_review'}),0.05546111540384528,0.7680469069587746,0.04228898686423344,0.7624979511555482,0.9927752383963129,1.0,-0.0003077512781735764,0.9766361771183681,-0.007645739232860956,0.05413204868626219,-0.02392274977010213,0.4087791866111631
frozenset({'Expensive'}),frozenset({'On_time_delivery'}),0.3292850324985228,0.9221853552111268,0.3011135857461025,0.9144466223117909,0.9916082674100108,1.0,-0.0025482489142552023,0.909544975213732,-0.012460287650816634,0.31684266911539644,-0.09945085427470172,0.6204841914358501
"frozenset({'Low', 'On_time_delivery', 'Speed_Slow'})",frozenset({'Positive_review'}),0.1167310576791964,0.7680469069587746,0.08886868778691878,0.7613114243438984,0.9912303759655167,1.0,-0.0007862400096143307,0.9717812945325854,-0.009917106327539373,0.1116568060853873,-0.02903812372822773,0.43850939726705035
"frozenset({'High', 'Expensive'})",frozenset({'Positive_review'}),0.18699150038634607,0.7680469069587746,0.14231171310394983,0.7610597958191542,0.9909027546673064,1.0,-0.0013065303953637974,0.9707579092284856,-0.011166242858383323,0.17510402219140084,-0.030122948773865423,0.4731750943256786
"frozenset({'High', 'Expensive'})","frozenset({'On_time_delivery', 'Positive_review'})",0.18699150038634607,0.7413935730194082,0.13703922548975048,0.7328633932912009,0.9884943975256392,1.0,-0.0015950711059427025,0.9680680988154275,-0.01411453357301915,0.173172356752286,-0.03298518071574276,0.4588517219040087
"frozenset({'Cheap', 'High'})",frozenset({'On_time_delivery'}),0.04784327985091587,0.9221853552111268,0.04342529885005227,0.9076572297168916,0.9842459811228415,1.0,-0.0006950731737299237,0.8426717603371194,-0.016532528292644427,0.04686503615190669,-0.18670168749922247,0.47737339281694546
"frozenset({'High', 'Expensive'})",frozenset({'On_time_delivery'}),0.18699150038634607,0.9221853552111268,0.16970137721012682,0.90753524550316,0.9841137037959004,1.0,-0.0027394459951172734,0.8415600648302437,-0.01946899885747104,0.18063417418986522,-0.18826931290010324,0.5457780717633598
frozenset({'High'}),frozenset({'On_time_delivery'}),0.33303031680378165,0.9221853552111268,0.3022044452524885,0.907438242118193,0.9840085151975142,1.0,-0.004911235745280962,0.8406781220408056,-0.02378639867140057,0.31710481132435425,-0.1895159083864693,0.6175714548360199
"frozenset({'Low', 'On_time_delivery', 'Speed_Slow', 'Medium'})",frozenset({'Positive_review'}),0.043170764965228856,0.7680469069587746,0.03261669924094359,0.7555274794693618,0.9836996576954058,1.0,-0.0005404732616446639,0.94879004207819,-0.01702327067617028,0.041891418563922936,-0.053973962257911,0.39899727309405314
"frozenset({'High', 'Medium'})",frozenset({'On_time_delivery'}),0.0981955365665197,0.9221853552111268,0.08907776919230945,0.9071468246620996,0.9836925077328037,1.0,-0.0014767165764337092,0.8380396739874464,-0.018051126650870965,0.09564852412931439,-0.19326092909412754,0.5018705191376938
"frozenset({'Speed_Slow', 'Medium', 'Expensive'})",frozenset({'Positive_review'}),0.06073360301804463,0.7680469069587746,0.04582518976410163,0.7545277653045951,0.9823980260428219,1.0,-0.0008210661823696494,0.9449259845173331,-0.01871882461066379,0.058528486340257056,-0.05828394645195259,0.40709616851199526
"frozenset({'Cheap', 'Medium'})","frozenset({'On_time_delivery', 'Positive_review'})",0.12796691059497295,0.7413935730194082,0.09281396300168174,0.725296583078781,0.9782881987025185,1.0,-0.0020598820725804268,0.9414022944416318,-0.02481883440675433,0.11952144596366361,-0.06224512719413318,0.42524255076913164
frozenset({'High'}),frozenset({'Positive_review'}),0.33303031680378165,0.7680469069587746,0.24965228853233945,0.7496383240070971,0.9760319548390999,1.0,-0.006130616212305873,0.9264720413830454,-0.03551075242168993,0.29321702736464483,-0.07936338640850024,0.5373432775688884
"frozenset({'Cheap', 'Medium'})",frozenset({'Positive_review'}),0.12796691059497295,0.7680469069587746,0.09581382664424344,0.7487390779285359,0.9748611330176542,1.0,-0.0024707632312955807,0.9231562597515773,-0.02872192636102462,0.11973735032831209,-0.0832402309324116,0.43674452268996006
"frozenset({'Speed_Slow', 'Medium', 'Expensive'})","frozenset({'On_time_delivery', 'Positive_review'})",0.06073360301804463,0.7413935730194082,0.04388891414026635,0.72264631043257,0.9747134811130236,1.0,-0.0011385888036240799,0.9324066587465374,-0.026877616297164706,0.05788274787195779,-0.07249341327563062,0.39092208602541234
"frozenset({'Cheap', 'Speed_Slow', 'Medium'})",frozenset({'On_time_delivery'}),0.09783191673105768,0.9221853552111268,0.08779600927230581,0.8974168370191415,0.9731414969322358,1.0,-0.0024231516093099897,0.7585518181321148,-0.02968460504983646,0.09417936791192504,-0.31830150043333344,0.4963105674572764
frozenset({'High'}),"frozenset({'On_time_delivery', 'Positive_review'})",0.33303031680378165,0.7413935730194082,0.2400709058679151,0.7208680223829671,0.9723149061667091,1.0,-0.006835630631026046,0.9264665022916077,-0.04094279389572976,0.28773302245513876,-0.07936983962885638,0.5223391818083527
"frozenset({'Speed_Slow', 'Medium'})",frozenset({'On_time_delivery'}),0.37577382846234264,0.9221853552111268,0.334175719285487,0.8893001427292739,0.9643399103054244,1.0,-0.012357402194103473,0.7029335602355006,-0.055926315612303296,0.34673319436715366,-0.42260955596568,0.6258369213818877
"frozenset({'Speed_Slow', 'Expensive'})",frozenset({'Positive_review'}),0.2296713785737012,0.7680469069587746,0.17001045407026955,0.7402335246388284,0.963786870218541,1.0,-0.006387937860219461,0.8929292847305437,-0.046507837750705855,0.20539911259500065,-0.1199095125452926,0.4807938918865768
"frozenset({'Cheap', 'Speed_Slow', 'High'})",frozenset({'On_time_delivery'}),0.03911640379982728,0.9221853552111268,0.03473478478250989,0.8879851266558215,0.9629139322566281,1.0,-0.0013377899502157037,0.694681362088219,-0.03853761515842778,0.03748761368430348,-0.4395088951199011,0.4628254284272257
"frozenset({'High', 'Medium'})",frozenset({'Positive_review'}),0.0981955365665197,0.7680469069587746,0.07261488114176629,0.7394926865395297,0.9628222961898112,1.0,-0.0028038969953064347,0.8903899470615907,-0.04105968571938987,0.09149742849615707,-0.12310342597660447,0.4170187692660484
"frozenset({'Cheap', 'Speed_Slow'})",frozenset({'On_time_delivery'}),0.20067269669560475,0.9221853552111268,0.17799190945866097,0.8869762174405436,0.9618198905766375,1.0,-0.007065512624749998,0.6884802740338181,-0.04731180847068957,0.18837791033288437,-0.4524744393052577,0.5399936043090144
"frozenset({'Low', 'Speed_Slow', 'Medium'})",frozenset({'On_time_delivery'}),0.048725057951911274,0.9221853552111268,0.043170764965228856,0.8860074626865673,0.9607693916194572,1.0,-0.0017627699098371821,0.6826292898009181,-0.0411573288157129,0.04653327584855374,-0.4649239564444121,0.4664105034858239
"frozenset({'Speed_Slow', 'High'})",frozenset({'On_time_delivery'}),0.26461524476160175,0.9221853552111268,0.2343620744511613,0.8856710982857535,0.9604046445554174,1.0,-0.009662229033595648,0.6806209420550813,-0.05308668366826604,0.24606530308380978,-0.46924659264902846,0.5699044041874822
"frozenset({'Speed_Slow', 'High', 'Expensive'})",frozenset({'On_time_delivery'}),0.1477114676605609,0.9221853552111268,0.13080314531157675,0.8855314173179887,0.9602531772099694,1.0,-0.005414206961734475,0.6797904103088172,-0.0463163531282698,0.1392865785779972,-0.4710416399456373,0.513685911724695
"frozenset({'Speed_Slow', 'High', 'Expensive'})",frozenset({'Positive_review'}),0.1477114676605609,0.7680469069587746,0.10893141220853597,0.7374607668164194,0.9601767289663767,1.0,-0.004517923650498898,0.8834987831286614,-0.0464048264469119,0.13501211199369048,-0.13186347179651173,0.43964494033277973
"frozenset({'Speed_Slow', 'High', 'Medium'})",frozenset({'On_time_delivery'}),0.07778737330121357,0.9221853552111268,0.06882414435707468,0.8847727007128667,0.9594304395674396,1.0,-0.002910232121645484,0.6753143158807188,-0.043841522232791835,0.07391317081742832,-0.48079194603751113,0.4797021372360233
"frozenset({'High', 'Medium'})","frozenset({'On_time_delivery', 'Positive_review'})",0.0981955365665197,0.7413935730194082,0.06971501295395664,0.7099611183114238,0.9576035511341537,1.0,-0.0030865267556533516,0.8916267552647151,-0.046796870671175536,0.0905537843901287,-0.12154552798621426,0.4019967564165234
